id,IATA,ICAO,Airline,Callsign,wikimedia_logo_url
1586,K6,KHV,Cambodia Angkor Air,ANGKOR AIR,https://www.flightaware.com/images/airline_logos/180px/KHV.png
1587,,HSO,Campania Helicopteros De Transporte,HELIASTURIAS,https://www.flightaware.com/images/airline_logos/180px/HSO.png
1588,C6,CJA,CanJet,CANJET,https://www.flightaware.com/images/airline_logos/180px/CJA.png
1589,,PIL,Canada Jet Charters,PINNACLE,https://www.flightaware.com/images/airline_logos/180px/PIL.png
1590,,CTG,Canadian Coast Guard,CANADIAN COAST GUARD,https://www.flightaware.com/images/airline_logos/180px/CTG.png
1591,,HIA,Canadian Eagle Aviation,HAIDA,https://www.flightaware.com/images/airline_logos/180px/HIA.png
1592,,CFC,Canadian Forces,CANFORCE,https://www.flightaware.com/images/airline_logos/180px/CFC.png
1593,,BZD,Canadian Global Air Ambulance,BLIZZARD,https://www.flightaware.com/images/airline_logos/180px/BZD.png
1594,,CDN,Canadian Helicopters,CANADIAN,https://www.flightaware.com/images/airline_logos/180px/CDN.png
1595,,TKR,Canadian Interagency Forest Fire Centre,TANKER,https://www.flightaware.com/images/airline_logos/180px/TKR.png
1596,,XNC,Canadian National Telecommunications,,https://www.flightaware.com/images/airline_logos/180px/XNC.png
1597,7F,AKT,Canadian North,ARCTIC,https://www.flightaware.com/images/airline_logos/180px/AKT.png
1598,CP,CPC,Canadian Pacific Airlines,EMPRESS,https://www.flightaware.com/images/airline_logos/180px/CPC.png
1599,,CDR,Canadian Regional Airlines,CANADIAN REGIONAL,https://www.flightaware.com/images/airline_logos/180px/CDR.png
1600,,CWH,Canadian Warplane Heritage Museum,WARPLANE HERITAGE,https://www.flightaware.com/images/airline_logos/180px/CWH.png
1601,W2,CWA,Canadian Western Airlines,CANADIAN WESTERN,https://www.flightaware.com/images/airline_logos/180px/CWA.png
1602,,CWW,Canair,CANAIR,https://www.flightaware.com/images/airline_logos/180px/CWW.png
1603,,CUI,Cancun Air,CAN-AIR,https://www.flightaware.com/images/airline_logos/180px/CUI.png
1604,9K,KAP,Cape Air,CAIR,https://www.flightaware.com/images/airline_logos/180px/KAP.png
1605,,CTO,Cape Air Transport,,https://www.flightaware.com/images/airline_logos/180px/CTO.png
1606,,SEM,Cape Central Airways,SEMO,https://www.flightaware.com/images/airline_logos/180px/SEM.png
1607,,CMY,Cape Smythe Air,CAPE SMYTHE AIR,https://www.flightaware.com/images/airline_logos/180px/CMY.png
1608,,CPX,Capital Air Service,CAPAIR,https://www.flightaware.com/images/airline_logos/180px/CPX.png
1609,,CPD,Capital Airlines,CAPITAL DELTA,https://www.flightaware.com/images/airline_logos/180px/CPD.png
1610,,NCP,Capital Airlines Limited,CAPITAL SHUTTLE,https://www.flightaware.com/images/airline_logos/180px/NCP.png
1611,PT,CCI,Capital Cargo International Airlines,CAPPY,https://www.flightaware.com/images/airline_logos/180px/CCI.png
1612,,CCQ,Capital City Air Carriers,CAP CITY,https://www.flightaware.com/images/airline_logos/180px/CCQ.png
1613,,EGL,Capital Trading Aviation,PRESTIGE,https://www.flightaware.com/images/airline_logos/180px/EGL.png
1614,,CEX,Capitol Air Express,CAPITOL EXPRESS,https://www.flightaware.com/images/airline_logos/180px/CEX.png
1615,,CWZ,Capitol Wings Airline,CAPWINGS,https://www.flightaware.com/images/airline_logos/180px/CWZ.png
1616,,VAN,Caravan Air,CAMEL,https://www.flightaware.com/images/airline_logos/180px/VAN.png
1617,,CWN,Cardiff Wales Flying Club,CAMBRIAN,https://www.flightaware.com/images/airline_logos/180px/CWN.png
1618,,FVA,Cardinal/Air Virginia,AIR VIRGINIA,https://www.flightaware.com/images/airline_logos/180px/FVA.png
1619,,GOL,Cardolaar,CARGOLAAR,https://www.flightaware.com/images/airline_logos/180px/GOL.png
1620,,CDI,Cards Air Services,CARDS,https://www.flightaware.com/images/airline_logos/180px/CDI.png
1621,,CFH,CareFlight,CARE FLIGHT,https://www.flightaware.com/images/airline_logos/180px/CFH.png
1622,,CDM,Carga Aérea Dominicana,CARGA AEREA,https://www.flightaware.com/images/airline_logos/180px/CDM.png
1623,,EST,Carga Express Internacional,CARGAINTER,https://www.flightaware.com/images/airline_logos/180px/EST.png
1624,GG,GGC,Cargo 360,LONG-HAUL,https://www.flightaware.com/images/airline_logos/180px/GGC.png
1625,,MCX,Cargo Express,MAURICARGO,https://www.flightaware.com/images/airline_logos/180px/MCX.png
1626,,CRV,Cargo Ivoire,CARGOIV,https://www.flightaware.com/images/airline_logos/180px/CRV.png
1627,,CLM,Cargo Link (Caribbean),CARGO LINK,https://www.flightaware.com/images/airline_logos/180px/CLM.png
1628,P3,CLU,Cargo Logic Air,FIREBIRD,https://www.flightaware.com/images/airline_logos/180px/CLU.png
1629,,CTW,Cargo Three,THIRD CARGO,https://www.flightaware.com/images/airline_logos/180px/CTW.png
1630,2G,CRG,Cargoitalia,WHITE PELICAN,https://www.flightaware.com/images/airline_logos/180px/CRG.png
1631,W8,CJT,Cargojet Airways,CARGOJET,https://www.flightaware.com/images/airline_logos/180px/CJT.png
1632,CV,CLX,Cargolux,CARGOLUX,https://www.flightaware.com/images/airline_logos/180px/CLX.png
1633,C8,ICV,Cargolux Italia,CARGO MED,https://www.flightaware.com/images/airline_logos/180px/ICV.png
1634,,CGM,Cargoman,HOTEL CHARLIE,https://www.flightaware.com/images/airline_logos/180px/CGM.png
1635,,DEL,Carib Aviation,RED TAIL,https://www.flightaware.com/images/airline_logos/180px/DEL.png
1636,,BCB,Carib Express,WAVEBIRD,https://www.flightaware.com/images/airline_logos/180px/BCB.png
1637,,PWD,CARIBAIR,CARIBAIR,https://www.flightaware.com/images/airline_logos/180px/PWD.png
1638,,DCC,Caribbean Air Cargo,CARICARGO,https://www.flightaware.com/images/airline_logos/180px/DCC.png
1639,,CLT,Caribbean Air Transport,CARIBBEAN,https://www.flightaware.com/images/airline_logos/180px/CLT.png
1640,,CLT,Club Aerocelta de Vuelo Con Motor,,https://www.flightaware.com/images/airline_logos/180px/CLT.png
1641,BW,BWA,Caribbean Airlines,CARIBBEAN AIRLINES,https://www.flightaware.com/images/airline_logos/180px/BWA.png
1642,,IQQ,Caribbean Airways,CARIBJET,https://www.flightaware.com/images/airline_logos/180px/IQQ.png
1643,,CSX,Choice Airways,CHOICE AIR,https://www.flightaware.com/images/airline_logos/180px/CSX.png
1644,,TLC,Caribbean Express,CARIB-X,https://www.flightaware.com/images/airline_logos/180px/TLC.png
1645,8B,GFI,Caribbean Star Airlines,CARIB STAR,https://www.flightaware.com/images/airline_logos/180px/GFI.png
1646,,CRB,Caricom Airways,CARIBBEAN COMMUTER,https://www.flightaware.com/images/airline_logos/180px/CRB.png
1647,,CRT,Caribintair,CARIBINTAIR,https://www.flightaware.com/images/airline_logos/180px/CRT.png
1648,,CVG,Carill Aviation,CARILL,https://www.flightaware.com/images/airline_logos/180px/CVG.png
1649,V3,KRP,Carpatair,CARPATAIR,https://www.flightaware.com/images/airline_logos/180px/KRP.png
1650,,ULS,Carroll Air Service,ULSTER,https://www.flightaware.com/images/airline_logos/180px/ULS.png
1651,,CMT,Casement Aviation,CASEMENT,https://www.flightaware.com/images/airline_logos/180px/CMT.png
1652,,CSO,Casino Airline,CASAIR,https://www.flightaware.com/images/airline_logos/180px/CSO.png
1653,,CSP,Casper Air Service,CASPER AIR,https://www.flightaware.com/images/airline_logos/180px/CSP.png
1654,RV,CPN,Caspian Airlines,CASPIAN,https://www.flightaware.com/images/airline_logos/180px/CPN.png
1655,,CSJ,Castle Aviation,CASTLE,https://www.flightaware.com/images/airline_logos/180px/CSJ.png
1656,,CAZ,Cat Aviation,EUROCAT,https://www.flightaware.com/images/airline_logos/180px/CAZ.png
1657,,CBT,Catalina Flying Boats,CATALINA AIR,https://www.flightaware.com/images/airline_logos/180px/CBT.png
1658,,TEX,Catex,CATEX,https://www.flightaware.com/images/airline_logos/180px/TEX.png
1659,CX,CPA,Cathay Pacific,CATHAY,https://www.flightaware.com/images/airline_logos/180px/CPA.png
1660,,CJR,Caverton Helicopters,CAVERTON AIR,https://www.flightaware.com/images/airline_logos/180px/CJR.png
1661,KX,CAY,Cayman Airways,CAYMAN,https://www.flightaware.com/images/airline_logos/180px/CAY.png
1662,5J,CEB,Cebu Pacific,CEBU,https://www.flightaware.com/images/airline_logos/180px/CEB.png
1663,,CIL,Cecil Aviation,CECIL,https://www.flightaware.com/images/airline_logos/180px/CIL.png
1664,,CEG,Cega Aviation,CEGA,https://www.flightaware.com/images/airline_logos/180px/CEG.png
1665,,CEC,Celtic Airways,CELTAIR,https://www.flightaware.com/images/airline_logos/180px/CEC.png
1666,,CWE,Celtic West,CELTIC,https://www.flightaware.com/images/airline_logos/180px/CWE.png
1667,,CEV,Centre d'Essais en Vol,CENTEV,https://www.flightaware.com/images/airline_logos/180px/CEV.png
1668,,CNL,Centennial Airlines,WYO-AIR,https://www.flightaware.com/images/airline_logos/180px/CNL.png
1669,,CNS,Cobalt Air LLC,CHRONOS,https://www.flightaware.com/images/airline_logos/180px/CNS.png
1670,,CVO,Center Vol,CENTERVOL,https://www.flightaware.com/images/airline_logos/180px/CVO.png
1671,,CTS,Center-South,CENTER-SOUTH,https://www.flightaware.com/images/airline_logos/180px/CTS.png
1672,,CET,Centrafrican Airlines,CENTRAFRICAIN,https://www.flightaware.com/images/airline_logos/180px/CET.png
1673,,CAX,Central Air Express,CENTRAL EXPRESS,https://www.flightaware.com/images/airline_logos/180px/CAX.png
1674,,CTL,Central Airlines,CENTRAL COMMUTER,https://www.flightaware.com/images/airline_logos/180px/CTL.png
1675,,CNY,Central Airways,CENTRAL LEONE,https://www.flightaware.com/images/airline_logos/180px/CNY.png
1676,,ACN,Central American Airlines,AEROCENTRO,https://www.flightaware.com/images/airline_logos/180px/ACN.png
1677,,YOG,Central Aviation,YOGAN AIR,https://www.flightaware.com/images/airline_logos/180px/YOG.png
1678,,DRN,Central De Discos De Reynosa,DISCOS REYNOSA,https://www.flightaware.com/images/airline_logos/180px/DRN.png
1679,2C,CMA,CMA-CGM AIRCARGO,FRENCH CARGO,https://www.flightaware.com/images/airline_logos/180px/CMA.png
1680,,CHA,Central Flying Service,CHARTER CENTRAL,https://www.flightaware.com/images/airline_logos/180px/CHA.png
1681,,CEM,Central Mongolia Airways,CENTRAL MONGOLIA,https://www.flightaware.com/images/airline_logos/180px/CEM.png
1682,9M,GLR,Central Mountain Air,GLACIER,https://www.flightaware.com/images/airline_logos/180px/GLR.png
1683,,CQC,Central Queensland Aviation College,,https://www.flightaware.com/images/airline_logos/180px/CQC.png
1684,,CSI,Central Skyport,SKYPORT,https://www.flightaware.com/images/airline_logos/180px/CSI.png
1685,,CLW,Centralwings,CENTRALWINGS,https://www.flightaware.com/images/airline_logos/180px/CLW.png
1686,,DTV,Centre Airlines,DUTCH VALLEY,https://www.flightaware.com/images/airline_logos/180px/DTV.png
1687,,CGS,Centre of Applied Geodynamica,GEO CENTRE,https://www.flightaware.com/images/airline_logos/180px/CGS.png
1688,J7,CVC,Centre-Avia,AVIACENTRE,https://www.flightaware.com/images/airline_logos/180px/CVC.png
1689,,CCV,Centro De Helicopteros Corporativos,HELICORPORATIVO,https://www.flightaware.com/images/airline_logos/180px/CCV.png
1690,,ACF,Centro de Formación Aeronáutica de Canarias,FORCAN,https://www.flightaware.com/images/airline_logos/180px/ACF.png
1691,WE,CWC,Centurion Air Cargo,CHALLENGE CARGO,https://www.flightaware.com/images/airline_logos/180px/CWC.png
1692,,URY,Century Aviation,CENTURY AVIA,https://www.flightaware.com/images/airline_logos/180px/URY.png
1693,,HAI,Century Aviation International,,https://www.flightaware.com/images/airline_logos/180px/HAI.png
1694,,XAD,Certified Air Dispatch,,https://www.flightaware.com/images/airline_logos/180px/XAD.png
1695,,CER,Cetraca Aviation Service,CETRACA,https://www.flightaware.com/images/airline_logos/180px/CER.png
1696,,IRU,Chabahar Airlines,CHABAHAR,https://www.flightaware.com/images/airline_logos/180px/IRU.png
1697,GM,GSW,Chair Airlines,EIGER,https://www.flightaware.com/images/airline_logos/180px/GSW.png
1698,,CLG,Chalair Aviation,CHALLAIR,https://www.flightaware.com/images/airline_logos/180px/CLG.png
1699,OP,CHK,Chalk's International Airlines,CHALKS,https://www.flightaware.com/images/airline_logos/180px/CHK.png
1700,,CLS,Challenge Air Transport,AIRISTO,https://www.flightaware.com/images/airline_logos/180px/CLS.png
1701,,CHS,Challenge Aviation,CHALLENGE AVIATION,https://www.flightaware.com/images/airline_logos/180px/CHS.png
1702,,OFF,Challenge International Airlines,CHALLENGE AIR,https://www.flightaware.com/images/airline_logos/180px/OFF.png
1703,,CHG,Challenge Airlines BE,Challenge,https://www.flightaware.com/images/airline_logos/180px/CHG.png
1704,,CPH,Champagne Airlines,CHAMPAGNE,https://www.flightaware.com/images/airline_logos/180px/CPH.png
1705,MG,CCP,Champion Air,CHAMPION AIR,https://www.flightaware.com/images/airline_logos/180px/CCP.png
1706,,NCH,Chanchangi Airlines,CHANCHANGI,https://www.flightaware.com/images/airline_logos/180px/NCH.png
1707,2Z,CGN,Chang An Airlines,CHANGAN,https://www.flightaware.com/images/airline_logos/180px/CGN.png
1708,,CHN,Channel Island Aviation,CHANNEL,https://www.flightaware.com/images/airline_logos/180px/CHN.png
1709,,WML,Chantilly Air,MARLIN,https://www.flightaware.com/images/airline_logos/180px/WML.png
